session,run,series,block,stmt,label,type,config,group,kind,round,attempt,used,retry_requested,flags,check_ok,exec_ms,per_row_ms,planning_ms,client_begin_ms,client_stmt_ms,client_commit_ms,client_total_ms,snapshot_gap_ms,explain_wal_records,explain_wal_bytes,explain_wal_fpi,loop_wal_bytes,lsn_diff_bytes,commit_and_page_overhead_bytes,stat_wal_records,stat_wal_fpi,stat_wal_bytes,stat_wal_buffers_full,stat_wal_write,stat_wal_sync,stat_wal_write_ms,stat_wal_sync_ms,shared_hit,shared_read,shared_dirtied,shared_written,temp_written,planning_shared_hit,io_hits,io_reads,io_writes,io_extends,io_fsyncs,io_write_ms,io_extend_ms,io_fsync_ms,rows_inserted,rows_updated,hot_updates,newpage_updates,live_after,dead_after,heap_bytes_before,heap_bytes_after,heap_growth,heap_pages_after,fsm_bytes_after,vm_bytes_after,toast_bytes_before,toast_bytes_after,toast_growth,toast_index_growth,pkey_growth,secondary_index_bytes_before,secondary_index_bytes_after,secondary_index_growth,index_bytes_after,docs_compressed_before,docs_compressed_after,docs_external_before,docs_external_after,doc_stored_bytes_before,doc_stored_bytes_after,updated_text_differs,updated_stored_text_bytes,updated_expected_text_bytes,extra_checkpoints_in_cycle,others_connected,plan_shape
1,W1b/json/X-1/m05,W1b/json/X-1,W1b,W1b,json,json,X-1,head-to-head,measured,5,1,True,False,,True,32.502,0.130008,,0.102,34.8,1.318,36.21999999999999,60.521,,,,956992,957032,40.0,1755.0,63.0,958485.0,0.0,1.0,0.0,1.1629999999968277,0.0,,,,,,,5885.0,50.0,0.0,64.0,0.0,0.0,1.08600000000024,0.0,250.0,0.0,0.0,0.0,9750,0,9732096,10240000,507904.0,1250,24576,8192,0,0,0.0,0.0,0,475136,491520,16384,"{""access_log_json_w_i1a_record_validity"":57344,""access_log_json_w_i1b_entity_type_code"":65536,""access_log_json_w_i1c_status_code"":57344,""access_log_json_w_i1d_latitude_degrees"":139264,""access_log_json_w_i1e_event_timestamp_utc"":172032,""access_log_json_w_pkey"":122880}",1,1,0,0,8013364,8434066,0,0,0,0,4,DO loop (250 single-row INSERT)
1,W1b/jsonb/X-1/m05,W1b/jsonb/X-1,W1b,W1b,jsonb,jsonb,X-1,head-to-head,measured,5,1,True,False,,True,18.618,0.074472,,0.105,20.811,1.178,22.094,47.421,,,,876992,877032,40.0,1754.0,58.0,873392.0,0.0,1.0,0.0,1.0020000000004075,0.0,,,,,,,5647.0,47.0,0.0,52.0,0.0,0.0,0.8810000000003129,0.0,250.0,0.0,0.0,0.0,9750,0,7643136,8052736,409600.0,983,24576,8192,0,0,0.0,0.0,0,475136,491520,16384,"{""access_log_jsonb_w_i1a_record_validity"":57344,""access_log_jsonb_w_i1b_entity_type_code"":65536,""access_log_jsonb_w_i1c_status_code"":57344,""access_log_jsonb_w_i1d_latitude_degrees"":139264,""access_log_jsonb_w_i1e_event_timestamp_utc"":172032,""access_log_jsonb_w_pkey"":122880}",2743,2880,0,0,6853343,7219683,,,,0,4,DO loop (250 single-row INSERT)
1,W1b/json/X-0/m05,W1b/json/X-0,W1b,W1b,json,json,X-0,head-to-head,measured,5,1,True,False,,True,4.6,0.0184,,0.096,6.675,0.888,7.659,28.092,,,,558376,558416,40.0,501.0,15.0,555847.0,0.0,1.0,0.0,0.7769999999945867,0.0,,,,,,,3393.0,0.0,0.0,62.0,0.0,0.0,0.7340000000003783,0.0,250.0,0.0,0.0,0.0,9750,0,9732096,10240000,507904.0,1250,24576,8192,0,0,0.0,0.0,0,0,0,0,"{""access_log_json_w_pkey"":122880}",1,1,0,0,8013364,8434066,0,0,0,0,4,DO loop (250 single-row INSERT)
1,W1b/jsonb/X-0/m05,W1b/jsonb/X-0,W1b,W1b,jsonb,jsonb,X-0,head-to-head,measured,5,1,True,False,,True,12.941,0.051764000000000004,,0.178,15.119,0.757,16.054000000000002,38.215,,,,500608,500648,40.0,501.0,14.0,498314.0,0.0,1.0,0.0,0.6569999999992433,0.0,,,,,,,3153.0,0.0,0.0,50.0,0.0,0.0,0.6749999999992724,0.0,250.0,0.0,0.0,0.0,9750,0,7643136,8052736,409600.0,983,24576,8192,0,0,0.0,0.0,0,0,0,0,"{""access_log_jsonb_w_pkey"":122880}",2743,2880,0,0,6853343,7219683,,,,0,4,DO loop (250 single-row INSERT)
1,W1b/json/X-0/m06,W1b/json/X-0,W1b,W1b,json,json,X-0,head-to-head,measured,6,1,True,False,,True,5.264,0.021056000000000002,,0.104,7.539,2.004,9.647,30.32,,,,558392,558432,40.0,501.0,15.0,555847.0,0.0,2.0,0.0,1.0610000000015134,0.0,,,,,,,3393.0,0.0,0.0,62.0,0.0,0.0,0.8580000000001746,0.0,250.0,0.0,0.0,0.0,9750,0,9732096,10240000,507904.0,1250,24576,8192,0,0,0.0,0.0,0,0,0,0,"{""access_log_json_w_pkey"":122880}",1,1,0,0,8013364,8434066,0,0,0,0,4,DO loop (250 single-row INSERT)
1,W1b/jsonb/X-0/m06,W1b/jsonb/X-0,W1b,W1b,jsonb,jsonb,X-0,head-to-head,measured,6,1,True,False,,True,14.013,0.056052,,0.13,16.576,0.47,17.176,40.106,,,,500608,500648,40.0,501.0,14.0,498314.0,0.0,2.0,0.0,0.3260000000009313,0.0,,,,,,,3147.0,0.0,0.0,50.0,0.0,0.0,0.8239999999996144,0.0,250.0,0.0,0.0,0.0,9750,0,7643136,8052736,409600.0,983,24576,8192,0,0,0.0,0.0,0,0,0,0,"{""access_log_jsonb_w_pkey"":122880}",2743,2880,0,0,6853343,7219683,,,,0,4,DO loop (250 single-row INSERT)
1,W1b/json/X-1/m06,W1b/json/X-1,W1b,W1b,json,json,X-1,head-to-head,measured,6,1,True,False,,True,33.623,0.134492,,0.099,36.059,1.445,37.602999999999994,61.135,,,,956992,957032,40.0,1755.0,63.0,958505.0,0.0,1.0,0.0,1.2810000000026776,0.0,,,,,,,5885.0,50.0,0.0,64.0,0.0,0.0,1.0799999999999272,0.0,250.0,0.0,0.0,0.0,9750,0,9732096,10240000,507904.0,1250,24576,8192,0,0,0.0,0.0,0,475136,491520,16384,"{""access_log_json_w_i1a_record_validity"":57344,""access_log_json_w_i1b_entity_type_code"":65536,""access_log_json_w_i1c_status_code"":57344,""access_log_json_w_i1d_latitude_degrees"":139264,""access_log_json_w_i1e_event_timestamp_utc"":172032,""access_log_json_w_pkey"":122880}",1,1,0,0,8013364,8434066,0,0,0,0,4,DO loop (250 single-row INSERT)
1,W1b/jsonb/X-1/m06,W1b/jsonb/X-1,W1b,W1b,jsonb,jsonb,X-1,head-to-head,measured,6,1,True,False,,True,17.5,0.07,,0.082,19.752,1.273,21.107,46.769,,,,876992,877032,40.0,1754.0,58.0,873392.0,0.0,1.0,0.0,1.125,0.0,,,,,,,5647.0,47.0,0.0,52.0,0.0,0.0,0.7240000000001601,0.0,250.0,0.0,0.0,0.0,9750,0,7643136,8052736,409600.0,983,24576,8192,0,0,0.0,0.0,0,475136,491520,16384,"{""access_log_jsonb_w_i1a_record_validity"":57344,""access_log_jsonb_w_i1b_entity_type_code"":65536,""access_log_jsonb_w_i1c_status_code"":57344,""access_log_jsonb_w_i1d_latitude_degrees"":139264,""access_log_jsonb_w_i1e_event_timestamp_utc"":172032,""access_log_jsonb_w_pkey"":122880}",2743,2880,0,0,6853343,7219683,,,,0,4,DO loop (250 single-row INSERT)
1,W1b/jsonb/X-4/m06,W1b/jsonb/X-4,W1b,W1b,jsonb,jsonb,X-4,separate: GIN (jsonb only),measured,6,1,True,False,,True,41.816,0.16726400000000002,,0.101,44.326,11.763,56.19,80.642,,,,1675848,1675888,40.0,2384.0,58.0,1668660.0,0.0,1.0,0.0,11.580000000001746,0.0,,,,,,,6657.0,47.0,0.0,182.0,0.0,0.0,2.5219999999999345,0.0,250.0,0.0,0.0,0.0,5000,0,7643136,8052736,409600.0,983,24576,8192,0,0,0.0,0.0,0,8380416,9461760,1081344,"{""access_log_jsonb_w_i1a_record_validity"":57344,""access_log_jsonb_w_i1b_entity_type_code"":65536,""access_log_jsonb_w_i1c_status_code"":57344,""access_log_jsonb_w_i1d_latitude_degrees"":139264,""access_log_jsonb_w_i1e_event_timestamp_utc"":172032,""access_log_jsonb_w_i2_gin_jsonb_ops"":4988928,""access_log_jsonb_w_i3_gin_jsonb_path_ops"":3981312,""access_log_jsonb_w_pkey"":122880}",2743,2880,0,0,6853343,7219683,,,,0,4,DO loop (250 single-row INSERT)
1,W1b/jsonb/X-4/m07,W1b/jsonb/X-4,W1b,W1b,jsonb,jsonb,X-4,separate: GIN (jsonb only),measured,7,1,True,False,,True,45.696,0.182784,,0.103,48.085,11.476,59.664,84.593,,,,1675848,1675888,40.0,2384.0,58.0,1668660.0,0.0,2.0,0.0,11.24199999999837,0.0,,,,,,,6659.0,47.0,0.0,182.0,0.0,0.0,2.9570000000003347,0.0,250.0,0.0,0.0,0.0,5000,0,7643136,8052736,409600.0,983,24576,8192,0,0,0.0,0.0,0,8380416,9461760,1081344,"{""access_log_jsonb_w_i1a_record_validity"":57344,""access_log_jsonb_w_i1b_entity_type_code"":65536,""access_log_jsonb_w_i1c_status_code"":57344,""access_log_jsonb_w_i1d_latitude_degrees"":139264,""access_log_jsonb_w_i1e_event_timestamp_utc"":172032,""access_log_jsonb_w_i2_gin_jsonb_ops"":4988928,""access_log_jsonb_w_i3_gin_jsonb_path_ops"":3981312,""access_log_jsonb_w_pkey"":122880}",2743,2880,0,0,6853343,7219683,,,,0,4,DO loop (250 single-row INSERT)
