phase,mode,batch,query,type,runs,exec_min,exec_p25,exec_median,exec_p75,exec_max,plan_min,plan_p25,plan_median,plan_p75,plan_max,plan_shape,indexes_used,top_plan_rows,top_actual_rows,scan_plan_rows,scan_actual_rows,shared_hit_blocks,shared_read_blocks,exact_heap_blocks,lossy_heap_blocks,rows_removed_by_index_recheck,planning_shared_hit_blocks,jit_present,settings,detail_execution_ms
I-0,default,1,Q12b,json,15,139.294,142.855,149.098,155.68,160.246,0.028,0.032,0.043,0.046,0.048,Seq Scan on T,-,25,108,25,108,1250,0,None,None,None,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",157.291
I-0,default,1,Q12b,jsonb,15,14.07,14.46,14.77,16.287,22.344,0.025,0.027,0.041,0.047,0.048,Seq Scan on T,-,25,108,25,108,981,0,None,None,None,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",14.665
I-0,default,1,Q12c,json,15,141.082,142.172,151.959,159.356,164.974,0.028,0.031,0.04,0.046,0.051,Seq Scan on T,-,25,498,25,498,1250,0,None,None,None,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",163.862
I-0,default,1,Q12c,jsonb,15,14.38,14.739,14.897,15.332,18.076,0.025,0.029,0.042,0.046,0.05,Seq Scan on T,-,25,498,25,498,981,0,None,None,None,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",16.625
I-0,default,1,Q16,json,15,73.004,75.423,78.578,81.293,89.183,0.029,0.032,0.042,0.048,0.056,Seq Scan on T,-,1,78,1,78,1250,0,None,None,None,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",75.869
I-0,default,1,Q16,jsonb,15,11.092,11.548,12.029,13.04,15.223,0.026,0.029,0.041,0.047,0.053,Seq Scan on T,-,1,78,1,78,981,0,None,None,None,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",11.844
I-0,default,1,Q17,json,15,97.494,100.556,101.416,105.9,112.37,0.035,0.04,0.044,0.053,0.056,Aggregate [Seq Scan on T],-,200,8,5000,5000,1250,0,None,None,None,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",121.761
I-0,default,1,Q17,jsonb,15,11.144,11.391,12.035,13.46,15.68,0.028,0.03,0.05,0.054,0.069,Aggregate [Seq Scan on T],-,5000,8,5000,5000,981,0,None,None,None,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",11.768
I-0,default,1,Q09,json,15,53.811,55.414,56.319,59.882,67.255,0.026,0.027,0.039,0.044,0.049,Seq Scan on T,-,25,1528,25,1528,1250,0,None,None,None,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",51.723
I-0,default,1,Q09,jsonb,15,10.164,10.278,10.837,11.131,14.004,0.023,0.024,0.033,0.041,0.049,Seq Scan on T,-,25,1528,25,1528,981,0,None,None,None,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",10.236
I-0,default,1,C1,jsonb,15,9.852,9.948,10.23,10.622,10.924,0.021,0.022,0.023,0.025,0.043,Seq Scan on T,-,50,12,50,12,981,0,None,None,None,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",10.175
I-0,default,1,C1b,jsonb,15,10.564,10.743,11.042,12.025,13.264,0.021,0.023,0.024,0.027,0.034,Seq Scan on T,-,50,30,50,30,981,0,None,None,None,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",10.799
I-0,default,1,C1c,jsonb,15,10.152,10.418,10.616,11.674,16.114,0.022,0.023,0.024,0.029,0.036,Seq Scan on T,-,50,3,50,3,981,0,None,None,None,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",11.865
I-0,default,1,C1d,jsonb,15,10.384,10.693,10.947,12.366,12.93,0.022,0.022,0.024,0.028,0.055,Seq Scan on T,-,50,225,50,225,981,0,None,None,None,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",13.482
I-0,default,1,C2,jsonb,15,9.346,10.032,10.846,12.861,20.727,0.022,0.023,0.025,0.038,0.083,Seq Scan on T,-,50,3,50,3,981,0,None,None,None,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",9.645
I-0,default,1,C3,jsonb,15,10.887,11.255,11.644,12.88,19.745,0.022,0.024,0.025,0.033,0.053,Seq Scan on T,-,50,30,50,30,981,0,None,None,None,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",12.247
I-0,default,1,C3b,jsonb,15,10.181,10.483,10.831,12.53,14.906,0.022,0.022,0.024,0.03,0.044,Seq Scan on T,-,50,12,50,12,981,0,None,None,None,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",10.113
I-0,default,1,Q21,jsonb,15,10.664,10.847,10.982,12.062,14.057,0.021,0.022,0.023,0.03,0.036,Seq Scan on T,-,2500,30,2500,30,981,0,None,None,None,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",10.728
I-0,default,2,Q07,json,15,54.379,55.823,56.596,59.551,62.656,0.026,0.027,0.03,0.038,0.088,Seq Scan on T,-,25,12,25,12,1250,0,None,None,None,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",56.024
I-0,default,2,Q07,jsonb,15,9.986,10.298,10.49,11.165,12.818,0.023,0.026,0.04,0.042,0.056,Seq Scan on T,-,25,12,25,12,981,0,None,None,None,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",10.591
I-0,default,2,Q08,json,15,97.088,98.597,100.201,102.225,116.72,0.026,0.028,0.032,0.043,0.045,Seq Scan on T,-,25,225,25,225,1250,0,None,None,None,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",106.293
I-0,default,2,Q08,jsonb,15,10.246,10.541,10.836,11.223,12.225,0.022,0.024,0.04,0.043,0.047,Seq Scan on T,-,25,225,25,225,981,0,None,None,None,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",10.947
I-0,default,2,Q10,json,15,96.732,98.594,103.713,107.725,116.289,0.028,0.03,0.042,0.046,0.061,Seq Scan on T,-,25,30,25,30,1250,0,None,None,None,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",102.479
I-0,default,2,Q10,jsonb,15,10.246,10.56,10.934,11.947,13.474,0.024,0.025,0.042,0.047,0.057,Seq Scan on T,-,25,30,25,30,981,0,None,None,None,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",11.266
I-0,default,2,Q11a,json,15,109.264,113.1,122.133,134.811,139.005,0.032,0.034,0.036,0.046,0.054,Seq Scan on T,-,25,422,25,422,1250,0,None,None,None,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",121.685
I-0,default,2,Q11a,jsonb,15,13.056,13.245,13.381,13.584,15.188,0.029,0.031,0.048,0.055,0.056,Seq Scan on T,-,25,422,25,422,981,0,None,None,None,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",19.634
